isolate	internal_run_id	platform	biosample	library_id	run_accession	sra_filename_1	sra_filename_2	analysis_path_1	analysis_path_2
Nissle Stock-1	N2SKTQ_1_1	illumina	SAMN62288587	N2SKTQ_1_1_illumina	SRR40092758	Nissle_Stock-1_illumina_R1.fastq.gz	Nissle_Stock-1_illumina_R2.fastq.gz	N2SKTQ_results/N2SKTQ_1_1_illumina_R1.fastq.gz	N2SKTQ_results/N2SKTQ_1_1_illumina_R2.fastq.gz
Nissle Stock-1	N2SKTQ_1_1	nanopore	SAMN62288587	N2SKTQ_1_1_nanopore	SRR40092757	Nissle_Stock-1_nanopore.fastq.gz	-	N2SKTQ_results/N2SKTQ_1_1_nanopore.fastq.gz	-
Nissle Preg-1	N2SKTQ_9_9	illumina	SAMN62288588	N2SKTQ_9_9_illumina	SRR40092752	Nissle_Preg-1_illumina_R1.fastq.gz	Nissle_Preg-1_illumina_R2.fastq.gz	N2SKTQ_results/N2SKTQ_9_9_illumina_R1.fastq.gz	N2SKTQ_results/N2SKTQ_9_9_illumina_R2.fastq.gz
Nissle Preg-1	N2SKTQ_9_9	nanopore	SAMN62288588	N2SKTQ_9_9_nanopore	SRR40092751	Nissle_Preg-1_nanopore.fastq.gz	-	N2SKTQ_results/N2SKTQ_9_9_nanopore.fastq.gz	-
Nissle Preg-2	N2SKTQ_10_10	illumina	SAMN62288589	N2SKTQ_10_10_illumina	SRR40092750	Nissle_Preg-2_illumina_R1.fastq.gz	Nissle_Preg-2_illumina_R2.fastq.gz	N2SKTQ_results/N2SKTQ_10_10_illumina_R1.fastq.gz	N2SKTQ_results/N2SKTQ_10_10_illumina_R2.fastq.gz
Nissle Preg-2	N2SKTQ_10_10	nanopore	SAMN62288589	N2SKTQ_10_10_nanopore	SRR40092749	Nissle_Preg-2_nanopore.fastq.gz	-	N2SKTQ_results/N2SKTQ_10_10_nanopore.fastq.gz	-
Nissle Preg-5	Z6M7Y5_1	illumina	SAMN62288590	Z6M7Y5_1_illumina	SRR40092748	Nissle_Preg-5_illumina_R1.fastq.gz	Nissle_Preg-5_illumina_R2.fastq.gz	Z6M7Y5_illumina_prepared/Z6M7Y5_1_R1.fastq.gz	Z6M7Y5_illumina_prepared/Z6M7Y5_1_R2.fastq.gz
Nissle Preg-5	Z6M7Y5_1	nanopore	SAMN62288590	Z6M7Y5_1_nanopore	SRR40092747	Nissle_Preg-5_nanopore.fastq.gz	-	Z6M7Y5_nanopore_prepared/Z6M7Y5_1_nanopore.fastq.gz	-
Nissle Preg-6	Z6M7Y5_2	illumina	SAMN62288591	Z6M7Y5_2_illumina	SRR40092746	Nissle_Preg-6_illumina_R1.fastq.gz	Nissle_Preg-6_illumina_R2.fastq.gz	Z6M7Y5_illumina_prepared/Z6M7Y5_2_R1.fastq.gz	Z6M7Y5_illumina_prepared/Z6M7Y5_2_R2.fastq.gz
Nissle Preg-6	Z6M7Y5_2	nanopore	SAMN62288591	Z6M7Y5_2_nanopore	SRR40092745	Nissle_Preg-6_nanopore.fastq.gz	-	Z6M7Y5_nanopore_prepared/Z6M7Y5_2_nanopore.fastq.gz	-
Nissle Preg-13	Z6M7Y5_3	illumina	SAMN62288592	Z6M7Y5_3_illumina	SRR40092756	Nissle_Preg-13_illumina_R1.fastq.gz	Nissle_Preg-13_illumina_R2.fastq.gz	Z6M7Y5_illumina_prepared/Z6M7Y5_3_R1.fastq.gz	Z6M7Y5_illumina_prepared/Z6M7Y5_3_R2.fastq.gz
Nissle Preg-13	Z6M7Y5_3	nanopore	SAMN62288592	Z6M7Y5_3_nanopore	SRR40092755	Nissle_Preg-13_nanopore.fastq.gz	-	Z6M7Y5_nanopore_prepared/Z6M7Y5_3_nanopore.fastq.gz	-
Nissle Preg-14	Z6M7Y5_4	illumina	SAMN62288593	Z6M7Y5_4_illumina	SRR40092754	Nissle_Preg-14_illumina_R1.fastq.gz	Nissle_Preg-14_illumina_R2.fastq.gz	Z6M7Y5_illumina_prepared/Z6M7Y5_4_R1.fastq.gz	Z6M7Y5_illumina_prepared/Z6M7Y5_4_R2.fastq.gz
Nissle Preg-14	Z6M7Y5_4	nanopore	SAMN62288593	Z6M7Y5_4_nanopore	SRR40092753	Nissle_Preg-14_nanopore.fastq.gz	-	Z6M7Y5_nanopore_prepared/Z6M7Y5_4_nanopore.fastq.gz	-
